date	close	volume
2015-03-11	2040.23999	3406570000.0
2015-03-12	2065.949951	3405860000.0
2015-03-13	2053.399902	3498560000.0
2015-03-16	2081.189941	3295600000.0
2015-03-17	2074.280029	3221840000.0
2015-03-18	2099.5	4128210000.0
2015-03-19	2089.27002	3305220000.0
2015-03-20	2108.100098	5554120000.0
2015-03-23	2104.419922	3267960000.0
2015-03-24	2091.5	3189820000.0
2015-03-25	2061.050049	3521140000.0
2015-03-26	2056.149902	3510670000.0
2015-03-27	2061.02002	3008550000.0
2015-03-30	2086.23999	2917690000.0
2015-03-31	2067.889893	3376550000.0
2015-04-01	2059.689941	3543270000.0
2015-04-02	2066.959961	3095960000.0
2015-04-06	2080.620117	3302970000.0
2015-04-07	2076.330078	3065510000.0
2015-04-08	2081.899902	3265330000.0
2015-04-09	2091.179932	3172360000.0
2015-04-10	2102.060059	536200000.0
2015-04-13	2092.429932	2908420000.0
2015-04-14	2095.840088	3301270000.0
2015-04-15	2106.629883	4013760000.0
2015-04-16	2104.98999	3434120000.0
2015-04-17	2081.179932	3627600000.0
2015-04-20	2100.399902	3000160000.0
2015-04-21	2097.290039	3243410000.0
2015-04-22	2107.959961	3348480000.0
2015-04-23	2112.929932	3636670000.0
2015-04-24	2117.689941	3375780000.0
2015-04-27	2108.919922	3438750000.0
2015-04-28	2114.76001	3546270000.0
2015-04-29	2106.850098	4074970000.0
2015-04-30	2085.51001	4509680000.0
2015-05-01	2108.290039	3379390000.0
2015-05-04	2114.48999	3091580000.0
2015-05-05	2089.459961	3793950000.0
2015-05-06	2080.149902	3792210000.0
2015-05-07	2088.0	3676640000.0
2015-05-08	2116.100098	3399440000.0
2015-05-11	2105.330078	2992670000.0
2015-05-12	2099.120117	3139520000.0
2015-05-13	2098.47998	3374260000.0
2015-05-14	2121.100098	3225740000.0
2015-05-15	2122.72998	3092080000.0
2015-05-18	2129.199951	2888190000.0
2015-05-19	2127.830078	3296030000.0
2015-05-20	2125.850098	3025880000.0
2015-05-21	2130.820068	3070460000.0
2015-05-22	2126.060059	2571860000.0
2015-05-26	2104.199951	3342130000.0
2015-05-27	2123.47998	3127960000.0
2015-05-28	2120.790039	2980350000.0
2015-05-29	2107.389893	3927390000.0
2015-06-01	2111.72998	3011710000.0
2015-06-02	2109.600098	3049350000.0
2015-06-03	2114.070068	3099980000.0
2015-06-04	2095.840088	3200050000.0
2015-06-05	2092.830078	3243690000.0
2015-06-08	2079.280029	2917150000.0
2015-06-09	2080.149902	3034580000.0
2015-06-10	2105.199951	3414320000.0
2015-06-11	2108.860107	3128600000.0
2015-06-12	2094.110107	2719400000.0
2015-06-15	2084.429932	3061570000.0
2015-06-16	2096.290039	2919900000.0
2015-06-17	2100.439941	3222240000.0
2015-06-18	2121.23999	3520360000.0
2015-06-19	2109.98999	4449810000.0
2015-06-22	2122.850098	3030020000.0
2015-06-23	2124.199951	3091190000.0
2015-06-24	2108.580078	3102480000.0
2015-06-25	2102.310059	3214610000.0
2015-06-26	2101.48999	5025470000.0
2015-06-29	2057.639893	3678960000.0
2015-06-30	2063.110107	4078540000.0
2015-07-01	2077.419922	3727260000.0
2015-07-02	2076.780029	2996540000.0
2015-07-06	2068.76001	3486360000.0
2015-07-07	2081.340088	4458660000.0
2015-07-08	2046.680054	3608780000.0
2015-07-09	2051.310059	3446810000.0
2015-07-10	2076.620117	3065070000.0
2015-07-13	2099.600098	3096730000.0
2015-07-14	2108.949951	3002120000.0
2015-07-15	2107.399902	3261810000.0
2015-07-16	2124.290039	3227080000.0
2015-07-17	2126.639893	3362750000.0
2015-07-20	2128.280029	3245870000.0
2015-07-21	2119.209961	3343690000.0
2015-07-22	2114.149902	3694070000.0
2015-07-23	2102.149902	3772810000.0
2015-07-24	2079.649902	3870040000.0
2015-07-27	2067.639893	3836750000.0
2015-07-28	2093.25	4117740000.0
2015-07-29	2108.570068	4038900000.0
2015-07-30	2108.629883	3579410000.0
2015-07-31	2103.840088	3681340000.0
2015-08-03	2098.040039	3476770000.0
2015-08-04	2093.320068	3546710000.0
2015-08-05	2099.840088	3968680000.0
2015-08-06	2083.560059	4246570000.0
2015-08-07	2077.570068	3602320000.0
2015-08-10	2104.179932	3514460000.0
2015-08-11	2084.070068	3708880000.0
2015-08-12	2086.050049	4269130000.0
2015-08-13	2083.389893	3221300000.0
2015-08-14	2091.540039	2795590000.0
2015-08-17	2102.439941	2867690000.0
2015-08-18	2096.919922	2949990000.0
2015-08-19	2079.610107	3512920000.0
2015-08-20	2035.72998	3922470000.0
2015-08-21	1970.890015	5018240000.0
2015-08-24	1893.209961	6612690000.0
2015-08-25	1867.609985	5183560000.0
2015-08-26	1940.51001	5338250000.0
2015-08-27	1987.660034	5006390000.0
2015-08-28	1988.869995	3949080000.0
2015-08-31	1972.180054	3915100000.0
2015-09-01	1913.849976	4371850000.0
2015-09-02	1948.859985	3742620000.0
2015-09-03	1951.130005	3520700000.0
2015-09-04	1921.219971	3167090000.0
2015-09-08	1969.410034	3548650000.0
2015-09-09	1942.040039	3652120000.0
2015-09-10	1952.290039	3626320000.0
2015-09-11	1961.050049	3218590000.0
2015-09-14	1953.030029	3000200000.0
2015-09-15	1978.089966	3239860000.0
2015-09-16	1995.310059	3630680000.0
2015-09-17	1990.199951	4183790000.0
2015-09-18	1958.030029	6021240000.0
2015-09-21	1966.969971	3269350000.0
2015-09-22	1942.73999	3808260000.0
2015-09-23	1938.76001	3190530000.0
2015-09-24	1932.23999	4091530000.0
2015-09-25	1931.339966	3721870000.0
2015-09-28	1881.77002	4326660000.0
2015-09-29	1884.089966	4132390000.0
2015-09-30	1920.030029	4525070000.0
2015-10-01	1923.819946	3983600000.0
2015-10-02	1951.359985	4378570000.0
2015-10-05	1987.050049	4334490000.0
2015-10-06	1979.920044	4202400000.0
2015-10-07	1995.829956	4666470000.0
2015-10-08	2013.430054	3939140000.0
2015-10-09	2014.890015	3706900000.0
