Date,Open,High,Low,Close,Volume,Adjusted Close
2015-05-27,14.16,14.41,13.05,13.27,0.0,13.27
2015-05-28,13.49,13.99,13.31,13.31,0.0,13.31
2015-05-29,13.59,14.43,13.4,13.84,0.0,13.84
2015-06-01,13.92,14.86,13.47,13.97,0.0,13.97
2015-06-02,14.72,15.05,13.59,14.24,0.0,14.24
2015-06-03,13.73,14.2,13.4,13.66,0.0,13.66
2015-06-04,14.57,15.49,13.99,14.71,0.0,14.71
2015-06-05,15.01,15.65,14.21,14.21,0.0,14.21
2015-06-08,14.84,15.5,14.67,15.29,0.0,15.29
2015-06-09,15.18,15.74,14.47,14.47,0.0,14.47
2015-06-10,14.24,14.37,12.96,13.22,0.0,13.22
2015-06-11,13.04,13.22,12.56,12.85,0.0,12.85
2015-06-12,13.31,14.02,13.3,13.78,0.0,13.78
2015-06-15,15.48,15.57,14.91,15.39,0.0,15.39
2015-06-16,15.62,15.62,14.81,14.81,0.0,14.81
2015-06-17,14.66,15.49,14.07,14.5,0.0,14.5
2015-06-18,14.03,14.03,12.54,13.19,0.0,13.19
2015-06-19,13.35,14.0,12.96,13.96,0.0,13.96
2015-06-22,13.42,13.46,12.43,12.74,0.0,12.74
2015-06-23,12.5,12.68,11.93,12.11,0.0,12.11
2015-06-24,12.57,13.33,12.01,13.26,0.0,13.26
2015-06-25,12.96,14.16,12.92,14.01,0.0,14.01
2015-06-26,14.13,14.91,13.64,14.02,0.0,14.02
2015-06-29,16.700001,19.5,15.82,18.85,0.0,18.85
2015-06-30,17.6,19.799999,17.49,18.23,0.0,18.23
2015-07-01,16.629999,17.26,15.65,16.09,0.0,16.09
2015-07-02,15.43,17.48,15.39,16.790001,0.0,16.790001
2015-07-06,18.65,18.950001,16.57,17.01,0.0,17.01
2015-07-07,17.219999,19.200001,15.93,16.09,0.0,16.09
2015-07-08,17.379999,19.76,16.940001,19.66,0.0,19.66
2015-07-09,17.459999,20.049999,17.200001,19.969999,0.0,19.969999
2015-07-10,17.450001,18.17,16.6,16.83,0.0,16.83
2015-07-13,15.29,15.36,13.82,13.9,0.0,13.9
2015-07-14,13.91,13.95,12.9,13.37,0.0,13.37
2015-07-15,13.35,13.97,12.81,13.23,0.0,13.23
2015-07-16,12.59,12.61,11.87,12.11,0.0,12.11
2015-07-17,11.77,12.22,11.77,11.95,0.0,11.95
2015-07-20,12.25,12.37,11.71,12.25,0.0,12.25
2015-07-21,12.42,12.79,12.21,12.22,0.0,12.22
2015-07-22,12.77,12.83,12.05,12.12,0.0,12.12
2015-07-23,12.06,13.08,11.73,12.64,0.0,12.64
2015-07-24,12.87,14.73,12.86,13.74,0.0,13.74
2015-07-27,15.6,16.27,15.03,15.6,0.0,15.6
2015-07-28,14.87,15.62,13.32,13.44,0.0,13.44
2015-07-29,13.57,13.59,11.85,12.5,0.0,12.5
2015-07-30,12.72,13.42,12.09,12.13,0.0,12.13
2015-07-31,12.03,12.63,11.82,12.12,0.0,12.12
2015-08-03,12.85,13.55,12.32,12.56,0.0,12.56
2015-08-04,12.66,13.22,12.29,13.0,0.0,13.0
2015-08-05,12.02,12.72,10.88,12.51,0.0,12.51
2015-08-06,12.2,14.25,12.16,13.77,0.0,13.77
2015-08-07,13.57,14.58,13.29,13.39,0.0,13.39
2015-08-10,12.73,12.78,12.18,12.23,0.0,12.23
2015-08-11,13.24,14.33,13.02,13.71,0.0,13.71
